years,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
E Asia,2249,2512,3371,2655,2742,2752,2746,2552,2781,2649,2882,3574,3847,3658,3891,4439,9132,8584,9233,7481,12368,13120,12748,13418,16698,14135,14943,16762,16443,14258,12854,13463,12915,11242
SE Asia,1461,1658,1699,1486,1445,1508,1484,1828,1294,1148,1039,1351,2123,1392,1222,1126,1371,1427,1680,1395,1553,305,252,926,879,701,821,1727,2894,3238,3499,3927,2370,2265
N America,0,0,0,0,0,0,0,0,0,0,0,0,0,220,192,249,281,202,114,142,60,78,62,60,66,51,130,77,83,139,157,123,147,205
