years,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
W Asia,0,51,77,82,81,74,105,55,33,59,40,84,70,60,166,0,0,0,0,0,0,0,0,0,690,267,236,142,156,179,284,351,228,214
SE Asia,277,87,134,186,179,225,249,334,232,329,444,573,494,545,581,503,377,593,657,801,936,970,393,890,1675,954,1286,2387,1243,1958,1264,1608,1618,1630
S Asia,340,451,447,357,313,356,413,498,385,325,393,472,595,3878,3214,2054,1884,1979,1625,1875,427,412,519,443,652,503,821,781,1029,2101,427,332,1635,2049
E Asia,1119,1131,908,1000,1133,167,167,178,145,2785,1631,655,3494,1182,783,529,514,2033,164,38,177,2184,218,319,339,333,184,162,139,144,150,43,105,46
W Africa,55,43,21,24,102,58,5,18,28,0,0,0,0,0,35,294,93,65,50,155,18,43,55,44,53,70,172,109,33,34,27,16,22,27
S America,16,7,8,2,1,0,4,14,47,201,153,178,237,169,163,192,278,376,240,238,118,106,18,89,94,207,195,243,355,351,242,275,506,433
C America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,136,149,194,44,0,19
Melanesia,0,40,56,32,54,42,41,8,8,11,10,6,25,14,24,21,69,5,5,5,20,54,30,171,182,187,160,180,175,160,160,0,0,0
